CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,800","2,315.30","2,531.05","1,000","17,350.00","5,19,100",0.45,0.50,"2,650",-0.50,0.50,35.38,"1,05,040","41,304","42,016",
,-,-,-,-,-,-,"1,800","2,267.60","2,467.50","1,800","17,400.00","9,600",0.50,0.55,"25,800",-0.55,0.55,34.98,"16,488","5,863","6,472",
,-,-,-,-,-,-,"1,800","2,225.15","2,416.85","1,000","17,450.00","3,000",0.50,0.55,"20,800",-0.65,0.50,33.95,"11,094","2,844","2,975",
,1,-,-,-,"2,300.00",-,200,"2,172.60","2,365.75","1,000","17,500.00","1,88,900",0.50,0.55,"1,41,800",-0.45,0.55,33.54,"43,691","5,877","11,281",
,-,-,-,-,-,-,"1,800","2,121.80","2,315.40","1,000","17,550.00","19,650",0.50,0.55,"1,800",-0.65,0.50,32.53,"3,938","1,038","1,151",
,-,-,-,-,-,-,"1,800","2,079.30","2,264.85","1,000","17,600.00","1,76,850",0.50,0.60,"36,350",-0.70,0.50,31.82,"22,103","6,209","6,490",
,-,-,-,-,-,-,"1,800","2,074.70","2,228.80","1,000","17,650.00","1,900",0.55,3.50,500,-0.45,0.70,32.14,"4,428","1,160","1,257",
,-,-,-,-,-,-,"1,800","1,984.55","2,164.55","1,000","17,700.00","9,000",0.60,0.65,"23,750",-0.80,0.65,31.18,"13,682","5,934","6,039",
,1,-,-,-,"1,915.00",-,"1,500","1,939.00","2,119.00","1,000","17,750.00","26,100",0.60,0.80,700,-0.80,0.60,30.22,"6,717","2,095","2,200",
,6,-,-,-,"2,075.00",-,"1,500","1,889.90","2,063.65","1,500","17,800.00","19,500",0.70,0.80,"1,950",-0.65,0.70,29.95,"8,924","2,130","3,148",
,2,-,-,-,"2,050.00",-,"1,800","1,795.75","2,055.75","1,750","17,850.00","12,500",0.70,1.20,100,-0.80,0.70,29.22,"5,820","1,834","1,998",
,-,-,-,-,-,-,"1,800","1,722.60","2,004.90","1,000","17,900.00","9,350",0.85,1.05,"4,450",-0.65,0.85,29.07,"21,389",737,"7,933",
